"","probability","class"
"1",0.0375510137528868,0
"2",0.0251382428526002,0
"3",0.710800946931832,1
"4",0.101689875856573,0
"5",0.276663258629706,1
"6",0.0236523036182402,0
"7",0.053877240195046,0
"8",0.0627494120036324,0
"9",0.0392571306336026,0
"10",0.0213705100380248,0
"11",0.0498947364507637,0
"12",0.0390687610553244,0
"13",0.0304616723466787,0
"14",0.0301179669149118,0
"15",0.0747001337013037,0
"16",0.0508748311772915,0
"17",0.107923579794546,0
"18",0.0204482304662239,0
"19",0.0915443219348177,0
"20",0.0572897506221863,0
"21",0.271421177622616,1
"22",0.0672479647600261,0
"23",0.0690088382532731,0
"24",0.0517459691260494,0
"25",0.0375484552663667,0
"26",0.0924620521444703,0
"27",0.0822896324429232,0
"28",0.037280250576245,0
"29",0.0572075587707836,0
"30",0.0309878755811937,0
"31",0.175686031113905,0
"32",0.285591779085749,1
"33",0.554820117635035,1
"34",0.12851951859078,0
"35",0.744272228496125,1
"36",0.027324435077032,0
"37",0.345498999932343,1
"38",0.106215913563878,0
"39",0.0446904987798358,0
"40",0.0384226428517002,0
"41",0.0535083463372299,0
"42",0.049914325948942,0
"43",0.0573407885313488,0
"44",0.0347392818885873,0
"45",0.0346941653017847,0
"46",0.027991382923266,0
"47",0.256400915391623,1
"48",0.0453377122838638,0
"49",0.0768519435973805,0
"50",0.0942165181327105,0
"51",0.0366987092119799,0
"52",0.0408613190438999,0
"53",0.038993548707959,0
"54",0.0680145326946237,0
"55",0.0399312554974692,0
"56",0.0386646717599559,0
"57",0.751581950777177,1
"58",0.0730190962712113,0
"59",0.0656506093661948,0
"60",0.0661332187798755,0
"61",0.0606971832162313,0
"62",0.0438299229121098,0
"63",0.104480147950959,0
"64",0.073313473166662,0
"65",0.0366670228458059,0
"66",0.027947220291595,0
"67",0.294007840390264,1
"68",0.0381900558762545,0
"69",0.0612722468710026,0
"70",0.550964137261999,1
"71",0.21950657275795,1
"72",0.0500520945227473,0
"73",0.0319081861403355,0
"74",0.0791729239373054,0
"75",0.382585766149383,1
"76",0.0662017592028757,0
"77",0.0539821423486049,0
"78",0.0720136540014868,0
"79",0.0642205515966724,0
"80",0.0379468857667192,0
"81",0.101769144701258,0
"82",0.0645615383524813,0
"83",0.0648138134516591,0
"84",0.130947085668402,0
"85",0.149833476127613,0
